,0
0,"abandonned,abandoned"
1,"aberation,aberration"
2,"abilityes,abilities"
3,"abilties,abilities"
4,"abilty,ability"
5,"abondon,abandon"
6,"abbout,about"
7,"abotu,about"
8,"abouta,about"
9,a
10,"aboutit,about"
11,it
12,"aboutthe,about"
13,the
14,"abscence,absence"
15,"abondoned,abandoned"
16,"abondoning,abandoning"
17,"abondons,abandons"
18,"aborigene,aborigine"
19,"accesories,accessories"
20,"accidant,accident"
21,"abortificant,abortifacient"
22,"abreviate,abbreviate"
23,"abreviated,abbreviated"
24,"abreviation,abbreviation"
25,"abritrary,arbitrary"
26,"absail,abseil"
27,"absailing,abseiling"
28,"absense,absence"
29,"absolutly,absolutely"
30,"absorbsion,absorption"
31,"absorbtion,absorption"
32,"abudance,abundance"
33,"abundacies,abundances"
34,"abundancies,abundances"
35,"abundunt,abundant"
36,"abutts,abuts"
37,"acadamy,academy"
38,"acadmic,academic"
39,"accademic,academic"
40,"accademy,academy"
41,"acccused,accused"
42,"accelleration,acceleration"
43,"accension,accession,"
44,ascension
45,"acceptence,acceptance"
46,"acceptible,acceptable"
47,"accessable,accessible"
48,"acident,accident"
49,"accidentaly,accidentally"
50,"accidently,accidentally"
51,"acclimitization,acclimatization"
52,"accomadate,accommodate"
53,"accomadated,accommodated"
54,"accomadates,accommodates"
55,"accomadating,accommodating"
56,"accomadation,accommodation"
57,"accomadations,accommodations"
58,"accomdate,accommodate"
59,"accomodate,accommodate"
60,"accomodated,accommodated"
61,"accomodates,accommodates"
62,"accomodating,accommodating"
63,"accomodation,accommodation"
64,"accomodations,accommodations"
65,"accompanyed,accompanied"
66,"accordeon,accordion"
67,"accordian,accordion"
68,"accoring,according"
69,"accoustic,acoustic"
70,"accquainted,acquainted"
71,"accrediation,accreditation"
72,"accredidation,accreditation"
73,"accross,across"
74,"accussed,accused"
75,"acedemic,academic"
76,"acheive,achieve"
77,"acheived,achieved"
78,"acheivement,achievement"
79,"acheivements,achievements"
80,"acheives,achieves"
81,"acheiving,achieving"
82,"acheivment,achievement"
83,"acheivments,achievements"
84,"achievment,achievement"
85,"achievments,achievements"
86,"achive,achieve,"
87,archive
88,"achived,achieved,"
89,archived
90,"achivement,achievement"
91,"achivements,achievements"
92,"acknowldeged,acknowledged"
93,"acknowledgeing,acknowledging"
94,"ackward,awkward,"
95,backward
96,"acommodate,accommodate"
97,"acomplish,accomplish"
98,"acomplished,accomplished"
99,"acomplishment,accomplishment"
100,"acomplishments,accomplishments"
101,"acording,according"
102,"acordingly,accordingly"
103,"acquaintence,acquaintance"
104,"acquaintences,acquaintances"
105,"acquiantence,acquaintance"
106,"acquiantences,acquaintances"
107,"acquited,acquitted"
108,"activites,activities"
109,"activly,actively"
110,"actualy,actually"
111,"acuracy,accuracy"
112,"acused,accused"
113,"acustom,accustom"
114,"acustommed,accustomed"
115,"adavanced,advanced"
116,"adbandon,abandon"
117,"addional,additional"
118,"addionally,additionally"
119,"additinally,additionally"
120,"additionaly,additionally"
121,"additonal,additional"
122,"additonally,additionally"
123,"addmission,admission"
124,"addopt,adopt"
125,"addopted,adopted"
126,"addoptive,adoptive"
127,"addres,address,"
